pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
166.7,-95.92,180.0,top,C1,,,C_0603_1608Metric,22uF,smt
150.08,-86.92,-90.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF,smt
161.37,-98.98,-90.0,top,C3,,,C_0603_1608Metric,22uF,smt
150.095,-80.95,180.0,top,C4,,,C_0603_1608Metric,0.1uF,smt
126.94,-87.64,90.0,top,C5,,,C_0603_1608Metric,4.7uF,smt
164.315,-80.86,180.0,top,C6,,,C_0603_1608Metric,22uF,smt
124.96,-87.64,90.0,top,C7,,,C_0603_1608Metric,0.1uF,smt
149.31,-105.185,-90.0,top,C8,,,C_0603_1608Metric,0.1uF,smt
153.94,-85.67,90.0,top,D1,SK110,,DIOM5027X250N,SK110,smt
169.62,-102.41,90.0,top,D2,,DO-214 Littelfuse,D_SMB_Handsoldering,SMBJ6.5A,smt
146.34,-88.68,0.0,top,D3,SMF05CT2G,,SMF05CT2G,SMF05CT2G,smt
160.58,-73.95,180.0,top,J1,,Package,SAMESKY_UJ20-C-H-G-SMT-P16-TR,UJ20-C-H-G-SMT-P16-TR,tht
146.44,-93.52,90.0,top,J2,,,PinHeader_1x05_P2.54mm_Vertical,Conn_01x05_Pin,tht
138.05,-79.96,0.0,top,J3,1989764,,1989764,1989764,tht
133.02,-104.21,180.0,top,J4,1989764,,1989764,1989764,tht
125.73,-79.94,0.0,top,J5,1989764,,1989764,1989764,tht
145.341,-104.199,180.0,top,J6,1989764,,1989764,1989764,tht
158.52,-104.19,0.0,top,JP1,,,PinHeader_1x03_P2.54mm_Vertical,M20-8770342,tht
118.48,-80.27,180.0,top,JP2,,,PinHeader_1x02_P2.54mm_Vertical,Jumper_2_Small_Open,tht
164.26,-102.35,0.0,top,L1,MLZ2012N100LT000,,INDC2012X105N,10uH,smt
159.48,-81.1,0.0,top,L2,MLZ2012N100LT000,,INDC2012X105N,10uH,smt
119.34,-87.23,-90.0,top,LED1,KB EELP41.12-P1R2-36-3X4X-5-R18,,KBEELP4112P1R2363X4X5R18,KB_EELP41.12-P1R2-36-3X4X-5-R18,smt
158.785,-87.5,180.0,top,R1,,,R_0603_1608Metric,44.2,smt
161.49,-104.735,-90.0,top,R10,,,R_0603_1608Metric,0R,smt
121.9,-77.0,90.0,top,R11,,,R_0603_1608Metric,470R,smt
163.58,-86.58,-90.0,top,R2,,,R_0603_1608Metric,5.1K,smt
154.1,-80.97,0.0,top,R3,,,R_0603_1608Metric,5.1K,smt
166.84,-77.865,-90.0,top,R4,,,R_0603_1608Metric,5.1K,smt
125.62,-96.28,-90.0,top,R5,,,R_0603_1608Metric,10K,smt
154.01,-90.38,0.0,top,R6,,,R_0603_1608Metric,10K,smt
149.845,-90.35,0.0,top,R7,,,R_0603_1608Metric,10K,smt
121.81,-104.84,90.0,top,R8,,,R_0603_1608Metric,10K,smt
146.31,-86.5,180.0,top,R9,,,R_0603_1608Metric,390R,smt
164.7,-99.24,0.0,top,U1,NCP115ASN330T2G,,SOT95P275X110-5N,NCP115ASN330T2G,smt
159.59,-84.67,0.0,top,U2,AP3012KTR-G1,,SOT95P282X145-5N,AP3012KTR-G1,smt
151.65,-76.665,0.0,top,U3,,Package,SOIC127P600X175-8N,CH340N,smt
132.19,-89.48,0.0,top,U4,STM32C011F6P6,,SOP65P640X120-20N,STM32C011F6P6,smt
151.95,-100.355,180.0,top,U5,SP485CN-L/TR,,SOIC127P600X175-8N,SP485CN-L_TR,smt
